S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178585	173	174	79	63	66	17	4	0	371	1	0	262	0	0	0	92	92	484	
178498	132	249	77	66	65	14	5	0	424	1	2	367	720	2	117	195	102	506	
178418	135	253	95	62	76	15	6	0	466	1	6	451	537	7	15	253	105	537	
178313	145	274	113	77	68	15	7	0	513	1	7	576	554	7	35	388	134	565	
178226	142	283	119	75	74	15	7	0	577	1	14	632	649	2	27	496	150	565	
178149	122	295	122	71	88	17	9	0	642	1	17	659	713	4	34	619	176	548	
178039	129	301	139	81	91	15	10	0	707	1	20	735	328	2	34	761	203	563	
177911	156	302	164	80	92	17	11	0	772	1	27	768	554	6	26	902	223	599	
177801	152	327	164	83	94	20	11	0	849	1	31	775	551	2	27	1045	251	600	
177695	158	324	159	91	103	22	12	1	932	1	35	817	523	6	24	1179	253	616	
177558	180	333	166	92	109	22	13	1	1015	1	43	850	507	5	36	1225	267	648	
177447	182	325	169	100	113	22	13	1	1110	1	50	839	539	2	37	1245	276	648	
177352	172	328	181	97	118	22	16	0	1189	2	56	821	531	1	37	1334	294	640	
177223	183	320	185	106	124	22	17	0	1290	2	61	849	656	4	33	1324	294	663	
177118	171	340	189	103	117	22	17	0	1387	3	66	848	208	2	37	1374	308	651	
176998	174	354	181	98	127	26	20	1	1481	3	70	843	215	8	30	1414	317	663	
176851	196	354	184	110	128	28	17	3	1583	4	75	833	582	2	36	1391	327	690	
176714	216	343	194	115	123	27	16	2	1693	6	84	861	634	4	38	1428	329	705	
176602	202	368	195	110	114	26	17	2	1801	7	89	885	558	4	37	1477	334	698	
176489	188	375	201	117	124	25	18	1	1890	8	97	901	347	5	33	1547	339	709	
176364	178	373	216	121	131	28	20	1	1991	9	101	887	587	2	49	1646	360	707	
176217	182	401	210	117	130	26	20	2	2110	11	107	850	527	5	37	1653	344	742	
176053	214	431	198	118	126	29	21	2	2215	12	114	856	224	2	37	1700	345	792	
175872	251	442	210	122	129	27	20	2	2325	14	119	898	610	2	35	1721	339	862	
175731	244	432	233	119	149	26	21	2	2438	14	124	914	518	2	37	1720	333	891	
175604	222	447	230	138	133	26	19	3	2569	16	126	939	532	7	47	1789	345	870	
175455	220	419	249	153	165	26	21	3	2669	16	137	909	640	5	48	1853	373	880	
175258	234	454	248	163	166	28	21	3	2798	18	142	923	665	3	81	1969	419	895	
175097	239	456	251	160	167	29	17	5	2944	20	148	931	637	3	51	2033	420	899	
174917	255	467	275	151	161	27	21	6	3081	20	152	905	643	5	59	2118	431	926	
174725	263	495	276	163	149	29	21	6	3228	21	157	900	494	5	46	2113	428	968	
174536	275	509	297	163	151	30	22	7	3357	22	164	862	220	6	43	2155	432	1015	
174389	255	498	300	167	161	31	21	8	3510	22	171	898	320	2	42	2184	424	1009	
174251	245	491	320	170	152	33	21	7	3639	23	181	877	659	8	56	2283	442	990	
174061	254	517	305	168	156	34	18	10	3802	23	185	857	521	5	52	2337	438	1014	
173872	247	559	295	169	169	30	13	12	3952	25	190	857	575	8	40	2335	426	1056	
173630	293	568	311	171	174	33	17	11	4103	25	197	884	543	7	46	2319	425	1142	
173422	293	575	331	176	181	34	18	12	4266	26	199	906	526	9	56	2206	420	1188	
173191	302	628	322	182	180	37	19	13	4428	27	204	891	517	8	58	2257	427	1243	
173025	302	603	329	194	175	33	20	12	4603	27	210	875	641	6	65	2309	435	1221	
