S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178528	172	207	90	66	79	10	3	0	378	0	0	234	0	0	0	103	103	524	
178433	148	267	88	73	74	10	4	0	434	0	2	343	727	1	141	212	121	543	
178316	165	294	98	82	77	12	4	1	479	0	5	454	553	1	17	275	132	600	
178190	179	333	114	79	71	12	7	1	539	0	8	510	552	3	24	354	142	653	
178115	151	325	147	92	82	12	8	1	587	0	13	580	566	5	20	460	147	670	
178018	142	346	158	82	78	12	9	2	671	0	15	653	559	3	29	584	175	652	
177905	153	331	180	96	91	12	8	3	731	0	23	714	619	1	23	691	198	673	
177783	164	351	179	90	92	16	9	3	819	0	27	719	617	3	30	808	209	692	
177647	181	329	186	101	107	18	10	3	918	0	33	755	609	3	34	944	226	706	
177523	192	358	177	96	98	20	11	2	1021	0	35	782	625	13	45	1155	271	681	
177389	193	390	182	102	105	22	10	3	1096	1	40	830	541	6	28	1206	286	718	
177273	178	397	204	117	116	25	13	2	1159	1	48	802	612	3	28	1217	301	749	
177174	167	368	231	106	139	25	14	2	1253	1	53	807	496	6	37	1294	310	740	
177019	191	379	227	114	143	26	13	1	1362	2	56	827	494	4	52	1417	327	766	
176880	202	384	251	108	128	29	13	1	1468	3	66	822	224	5	47	1547	358	757	
176719	202	414	247	118	132	27	16	2	1582	3	71	827	632	7	31	1580	357	799	
176558	219	424	247	123	125	25	15	3	1715	3	76	868	484	3	36	1672	350	828	
176392	235	437	248	121	132	26	15	3	1843	3	78	863	600	3	46	1743	350	864	
176259	219	432	262	128	140	25	14	3	1959	4	88	868	622	5	40	1803	366	854	
176109	211	455	272	138	136	24	14	4	2070	4	96	836	489	3	44	1825	373	877	
175913	253	469	273	149	130	26	14	3	2200	5	98	850	670	10	39	1868	372	942	
175700	295	492	275	145	140	27	15	4	2330	5	105	844	522	5	44	1910	383	1006	
175504	311	532	277	160	138	24	15	4	2455	8	105	870	520	7	46	2032	413	1044	
175299	310	570	285	160	161	24	13	5	2586	10	110	879	533	8	36	1948	403	1120	
175105	297	618	293	158	160	26	10	6	2734	14	112	887	566	5	54	1932	391	1171	
174935	274	623	287	182	171	27	13	7	2877	15	122	890	516	13	53	2060	417	1160	
