S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178596	162	183	70	50	74	8	2	0	387	1	0	237	0	0	0	93	93	456	
178519	128	249	73	48	66	9	2	0	435	1	3	348	719	4	115	169	100	475	
178412	139	261	100	59	69	10	4	0	470	1	8	418	223	0	12	219	101	541	
178306	152	285	103	66	71	12	5	0	521	1	11	487	527	3	24	312	115	579	
178246	130	286	121	71	74	14	3	2	572	1	13	594	661	5	23	401	127	572	
178159	116	295	129	73	82	14	3	2	640	1	19	636	558	4	27	520	141	571	
178071	115	282	134	93	91	16	3	2	703	1	22	673	647	2	42	667	172	562	
177970	124	299	131	98	91	18	5	2	770	1	24	702	610	0	41	853	211	555	
177863	132	309	140	97	93	18	5	2	845	2	27	746	325	1	27	980	231	563	
177729	163	313	142	101	96	21	6	2	924	2	34	766	521	3	24	1096	247	595	
177622	186	289	150	112	104	20	7	1	999	3	40	805	628	4	31	1154	251	617	
177531	163	303	158	114	92	21	8	1	1092	4	46	805	542	7	43	1271	283	576	
177442	145	316	158	116	97	24	9	1	1173	4	48	829	661	1	23	1367	279	586	
177299	161	340	164	115	97	27	8	1	1264	5	52	822	499	3	32	1402	286	626	
177175	165	339	183	127	101	28	7	2	1341	5	60	818	481	6	28	1421	295	655	
177015	193	364	186	121	99	32	7	3	1441	5	67	825	527	2	34	1465	304	698	
176858	207	384	194	117	109	31	8	3	1544	5	73	825	647	7	37	1438	302	748	
176682	235	412	214	121	112	29	7	3	1633	6	79	846	216	5	42	1436	314	816	
176572	214	416	224	128	118	29	8	3	1734	6	81	862	517	3	28	1456	299	838	
176453	201	431	214	136	115	30	8	3	1851	6	85	863	529	2	44	1538	320	815	
176294	217	448	225	130	116	28	9	2	1971	6	87	853	629	11	52	1650	342	831	
176118	216	478	242	125	122	26	8	2	2097	7	92	863	523	1	42	1604	338	879	
175924	238	511	249	126	114	25	11	1	2232	7	95	836	620	5	35	1668	330	944	
175770	240	500	250	127	129	28	14	1	2364	8	102	862	529	4	37	1714	327	961	
175590	222	544	258	140	140	26	15	1	2483	9	105	820	562	6	48	1806	334	1011	
175426	225	526	285	167	148	24	16	1	2594	9	112	842	540	3	48	1874	356	1035	
175268	222	509	283	178	158	26	17	2	2738	10	122	822	663	9	50	1889	373	1020	
175049	260	552	277	175	171	22	19	2	2869	10	127	836	544	7	59	1962	426	1050	
174820	307	546	302	181	185	23	19	3	3001	11	135	802	543	7	48	2126	444	1119	
174612	328	551	304	180	187	26	19	3	3173	12	138	837	529	6	51	2174	432	1163	
174374	341	602	300	187	183	25	19	4	3342	14	142	790	556	12	63	2178	449	1208	
174163	330	640	313	185	180	28	19	4	3511	15	145	815	632	2	61	2267	460	1235	
