S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178557	175	202	85	52	57	16	2	0	385	2	0	223	0	0	0	95	95	494	
178481	123	269	96	49	57	16	2	0	436	2	2	358	692	7	117	172	100	512	
178395	130	265	115	60	60	16	2	0	485	2	3	466	255	0	13	222	106	542	
178303	137	274	123	71	59	16	2	0	541	2	5	552	666	4	24	308	126	556	
178222	130	271	143	85	65	15	2	0	590	2	8	604	225	0	19	384	144	567	
178140	132	281	143	82	73	17	2	0	651	2	10	651	575	2	25	488	168	562	
178038	141	275	168	89	78	17	2	0	710	3	12	716	362	4	27	597	181	589	
177937	142	287	162	100	85	16	3	0	783	3	15	768	513	2	26	731	210	585	
177838	146	290	163	103	85	17	4	0	865	3	19	787	618	2	33	877	234	574	
177735	145	302	162	102	83	20	4	0	954	3	23	816	232	0	27	1015	241	577	
177618	152	328	152	109	89	22	6	0	1026	3	28	797	532	4	26	1050	249	609	
177522	161	323	164	106	92	21	7	0	1100	3	34	814	501	2	28	1128	264	610	
177431	143	340	153	112	84	21	7	1	1201	3	37	810	515	4	35	1229	278	582	
177316	149	333	168	103	96	21	9	1	1292	3	42	844	547	3	21	1255	269	610	
177197	161	346	182	102	91	23	13	1	1368	3	46	856	513	2	31	1314	280	638	
177062	188	335	195	100	98	23	13	2	1461	3	53	850	524	2	24	1336	277	675	
176927	192	355	206	103	95	21	15	2	1558	3	56	880	532	4	32	1365	279	708	
176759	211	395	209	102	101	24	16	2	1652	3	59	884	239	4	28	1343	280	778	
176671	184	400	212	97	109	23	14	4	1754	3	62	862	512	8	28	1374	286	753	
176554	166	420	209	100	112	23	13	4	1860	4	68	872	554	5	26	1369	285	758	
176404	181	420	234	93	120	24	16	4	1962	4	71	870	557	4	40	1420	283	805	
176239	201	434	248	89	123	23	17	4	2073	4	78	895	571	8	42	1427	290	845	
176079	214	457	242	87	125	23	16	6	2198	4	82	889	515	5	34	1417	297	867	
