S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178585	157	189	96	74	54	11	5	0	362	0	0	213	0	0	0	80	80	506	
178498	122	260	94	72	60	10	5	0	410	0	2	358	695	4	115	189	102	521	
178404	123	282	101	76	63	9	4	1	465	0	5	485	635	3	30	301	124	534	
178291	152	285	118	77	66	9	4	2	523	0	6	538	219	1	16	368	127	584	
178196	164	264	132	87	83	11	4	2	580	0	10	631	554	3	30	484	150	595	
178069	157	321	137	83	91	9	3	3	647	0	13	674	605	4	33	632	174	627	
177960	155	335	151	89	95	12	4	3	709	0	20	694	565	4	35	788	199	642	
177872	139	330	158	102	108	12	4	3	781	0	24	735	526	3	30	955	236	617	
177747	167	312	170	115	111	16	6	2	859	0	28	761	622	4	45	1131	282	615	
177606	188	331	172	107	121	17	7	2	950	0	32	806	559	7	33	1306	307	636	
177455	218	368	170	111	116	16	7	3	1035	0	34	833	536	3	28	1405	336	670	
177299	225	402	192	128	115	18	7	3	1108	0	36	843	523	2	24	1397	335	752	
177156	232	407	189	136	116	19	9	3	1225	0	41	854	637	4	31	1424	327	781	
177029	216	420	205	129	110	20	11	2	1342	0	49	870	504	2	37	1516	330	781	
176924	188	422	223	127	110	20	10	3	1453	0	53	897	504	3	35	1532	332	768	
176767	207	418	220	141	127	23	9	4	1559	0	58	874	535	5	43	1563	338	807	
176587	230	430	233	141	132	25	11	4	1677	0	63	885	531	8	35	1577	340	862	
176412	251	459	243	139	142	28	10	5	1777	2	65	904	606	4	52	1659	382	890	
176252	245	464	276	143	144	31	12	5	1890	2	69	934	493	4	42	1682	392	923	
176061	275	474	277	140	146	32	15	6	2026	2	79	894	660	4	43	1674	393	966	
175915	272	465	269	153	153	32	19	5	2165	2	83	898	611	8	35	1751	381	982	
175764	248	494	257	157	158	32	19	3	2309	3	89	865	519	8	44	1845	407	958	
175589	247	514	265	161	168	32	19	5	2436	3	94	851	471	4	64	1966	466	940	
175408	263	520	278	156	168	34	20	5	2580	4	97	886	495	4	35	1981	440	999	
175205	266	541	290	175	176	35	20	5	2710	6	104	903	527	9	55	2072	461	1042	
174973	284	597	301	170	171	32	19	4	2866	8	108	929	561	11	55	2144	453	1121	
174735	310	616	327	180	179	34	18	3	3005	9	117	892	558	6	48	2158	465	1199	
174577	304	584	314	184	190	35	19	3	3194	10	119	854	536	7	56	2238	452	1178	
174376	284	633	316	170	205	39	18	5	3354	11	122	864	602	8	61	2336	473	1192	
174125	308	664	341	172	197	39	20	6	3524	11	126	854	538	8	72	2509	502	1239	
173873	345	681	353	179	188	39	21	6	3708	12	128	843	552	13	51	2585	539	1267	
173595	373	718	362	182	200	45	21	6	3881	14	136	843	562	8	44	2662	553	1348	
173308	407	731	369	196	210	47	24	5	4080	14	142	860	553	8	58	2682	555	1429	
173010	425	777	407	193	213	48	23	6	4269	16	146	859	643	8	69	2811	583	1503	
172762	414	784	436	201	238	50	22	5	4451	18	152	828	551	10	63	2841	598	1547	
172534	381	812	444	222	224	54	25	4	4656	19	158	814	583	12	68	2906	602	1560	
172205	388	899	440	238	227	55	22	7	4866	21	165	843	531	10	97	3092	656	1613	
171830	460	924	466	246	244	52	26	6	5086	21	172	829	531	9	67	3106	674	1744	
171469	513	958	486	254	246	53	26	5	5324	22	177	849	651	11	84	3197	694	1842	
171104	565	977	488	264	280	48	23	4	5572	25	183	886	628	11	71	3220	716	1929	
170731	574	1027	522	260	291	49	24	6	5830	28	191	876	530	10	103	3385	736	2011	
170433	528	1059	555	268	303	54	27	6	6076	28	196	884	658	13	99	3600	781	2013	
170115	513	1079	551	277	329	53	27	6	6356	29	198	880	534	19	88	3813	790	2039	
