S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178567	134	182	96	77	53	10	7	0	407	0	0	230	0	0	0	92	92	467	
178490	106	235	97	70	57	11	6	1	460	0	0	366	698	5	124	193	104	478	
178395	138	244	100	65	64	11	7	1	507	0	1	479	560	3	20	265	112	517	
178308	140	257	117	65	58	13	7	1	564	0	3	544	581	3	27	348	121	536	
178202	147	276	122	67	68	15	7	1	622	0	6	612	568	5	19	430	134	568	
178094	159	285	131	87	79	14	6	1	669	0	8	666	556	6	24	526	160	601	
178001	151	286	154	83	91	17	8	1	728	0	13	703	524	3	26	613	182	608	
177932	132	288	162	88	97	16	9	1	793	0	15	716	610	7	42	790	235	557	
177793	156	313	167	90	85	17	9	3	881	0	19	766	332	1	27	958	248	589	
177663	174	310	176	96	86	19	11	3	967	0	28	802	542	5	24	1102	259	613	
177525	195	338	174	93	93	21	11	3	1049	0	31	786	516	3	28	1144	263	662	
177389	182	372	179	106	103	21	12	2	1129	1	37	798	528	3	29	1131	275	700	
177203	224	394	192	113	116	20	11	3	1215	2	40	836	352	1	36	1238	311	759	
177091	217	401	201	116	111	22	11	3	1314	2	44	850	486	6	32	1286	306	773	
176972	197	408	224	122	111	22	12	3	1410	2	50	856	563	4	44	1416	330	766	
176811	211	430	238	127	123	24	11	5	1494	2	57	875	520	7	45	1497	370	794	
176647	216	459	248	116	127	21	13	5	1616	3	62	873	620	10	39	1601	379	821	
176471	238	461	247	117	136	26	11	6	1747	3	70	884	514	8	33	1556	358	878	
176322	234	466	244	133	152	27	9	5	1863	5	73	890	507	6	42	1635	373	892	
176124	265	483	272	140	148	26	9	4	1978	6	78	883	499	8	55	1798	409	934	
175972	262	488	287	128	143	29	11	4	2121	6	82	898	492	8	29	1861	397	951	
175817	256	487	289	144	140	32	13	5	2260	7	83	884	577	2	27	1871	398	963	
175635	280	481	298	152	143	28	15	5	2402	7	87	874	663	4	59	1966	394	1003	
175444	287	506	306	145	135	32	15	5	2556	8	94	825	625	6	52	2031	404	1022	
175244	310	526	299	149	143	34	15	6	2701	8	98	885	524	6	38	2020	398	1078	
175031	310	593	292	158	141	33	18	6	2840	9	102	877	526	8	40	2018	393	1152	
174819	306	610	316	166	156	38	21	5	2978	10	108	871	230	2	45	2030	390	1223	
174661	273	585	351	185	178	33	22	4	3116	11	114	845	539	5	66	2141	426	1201	
174480	257	592	350	195	187	36	23	4	3275	14	120	839	630	3	64	2220	449	1191	
174225	313	595	351	184	199	35	26	5	3461	14	125	867	572	11	77	2259	474	1229	
173972	345	623	363	183	199	35	29	6	3634	15	129	858	532	7	62	2407	496	1281	
173720	359	668	353	181	204	38	30	5	3826	15	134	868	667	10	52	2569	487	1346	
173432	388	717	356	193	192	37	28	3	4025	18	144	872	500	2	69	2591	488	1423	
173130	418	761	370	214	204	38	27	4	4195	20	152	886	519	10	68	2735	526	1506	
172920	400	769	375	216	210	38	29	3	4391	24	158	872	635	9	67	2886	548	1489	
172700	362	784	401	234	214	44	27	6	4569	25	167	857	542	7	71	3076	590	1476	
172414	381	807	408	236	231	44	30	4	4780	25	173	878	632	7	81	3235	629	1508	
172114	419	813	452	244	219	42	32	5	4992	26	175	831	630	10	74	3292	641	1580	
171762	466	864	452	274	219	41	36	6	5207	26	180	858	326	7	68	3356	661	1691	
171413	518	911	452	284	220	43	35	6	5439	28	184	840	695	8	59	3272	626	1837	
171053	530	975	472	291	245	42	36	8	5665	28	188	863	642	13	78	3329	638	1953	
170805	463	1004	502	282	270	40	37	6	5904	29	191	843	594	9	92	3512	676	1922	
170502	436	1015	516	303	294	35	34	6	6167	32	193	850	515	16	98	3620	691	1942	
170090	502	1041	543	320	299	39	34	7	6428	34	196	826	642	17	115	3768	748	2030	
169641	595	1076	580	347	308	38	30	10	6668	37	203	823	549	19	95	3951	815	2159	
169187	641	1129	618	356	321	38	30	9	6957	38	209	825	628	19	97	4087	849	2284	
168773	667	1159	611	357	338	40	30	7	7296	42	213	832	583	11	93	4137	868	2334	
168320	686	1212	633	377	343	39	23	11	7624	45	220	857	556	17	98	4281	856	2457	
167989	620	1212	674	396	349	43	22	11	7946	47	224	863	684	12	123	4533	904	2412	
167632	554	1249	699	394	363	50	25	12	8278	47	230	870	564	18	121	4823	954	2380	
167149	620	1271	719	409	392	55	25	12	8598	48	235	808	619	22	136	5046	1043	2448	
166637	711	1302	746	410	390	57	22	12	8954	50	242	780	577	18	115	5215	1044	2594	
166127	749	1350	779	422	384	59	23	12	9330	51	247	832	547	18	122	5292	1057	2709	
165603	736	1467	803	446	403	61	29	12	9672	53	248	823	569	18	122	5329	1099	2846	
165105	756	1487	801	467	421	63	33	12	10081	55	252	861	510	16	130	5455	1094	2934	
164744	702	1473	814	480	422	61	38	11	10478	55	255	867	539	19	146	5616	1138	2852	
164380	644	1436	842	489	437	63	36	13	10875	57	261	866	568	22	145	5877	1199	2748	
163885	647	1457	867	504	453	73	34	15	11278	57	263	861	535	9	174	6210	1312	2723	
163417	688	1415	890	508	452	80	36	15	11703	59	270	884	698	24	140	6316	1315	2754	
162958	702	1392	894	514	461	85	38	13	12143	62	271	874	525	21	136	6437	1323	2763	
162452	719	1450	875	499	449	87	40	12	12614	62	274	845	626	20	143	6430	1312	2807	
161951	756	1463	875	485	463	93	39	12	13051	65	280	819	631	15	137	6546	1351	2823	
161602	683	1424	891	467	455	88	41	13	13516	67	286	836	537	16	141	6630	1303	2746	
161276	590	1403	887	474	463	98	42	12	13929	69	290	846	613	10	154	6843	1331	2626	
160796	617	1416	872	468	475	101	40	14	14370	72	292	842	554	14	168	6973	1379	2610	
160295	719	1350	898	440	468	98	41	16	14837	73	298	855	576	19	139	7027	1345	2669	
159822	744	1391	883	443	452	104	42	14	15261	74	303	851	550	16	137	6955	1329	2730	
159372	721	1435	896	447	439	106	44	13	15671	79	310	810	651	14	121	6749	1318	2770	
158906	718	1441	869	472	462	103	48	14	16103	83	314	872	648	21	125	6679	1304	2809	
158559	641	1413	855	473	454	105	49	17	16563	84	320	850	572	15	131	6631	1276	2714	
158258	548	1343	862	473	473	103	47	21	16995	88	322	852	513	16	138	6668	1298	2551	
157801	559	1378	835	468	478	99	45	20	17431	91	328	847	595	18	168	6731	1311	2551	
