S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178622	180	169	76	63	42	10	4	0	365	2	0	233	0	0	0	77	77	467	
178557	113	247	85	55	47	9	5	0	408	2	5	386	764	5	98	147	80	481	
178474	118	265	94	58	52	12	5	0	445	2	8	467	583	2	18	225	94	510	
178389	123	268	100	65	70	14	4	1	489	2	8	541	528	2	28	330	113	531	
178278	133	299	112	68	67	13	5	1	542	2	13	606	585	5	26	436	142	555	
178148	163	306	134	78	72	15	5	1	587	2	22	656	656	2	28	537	171	602	
178045	174	292	148	80	83	16	5	1	658	2	29	709	522	4	15	628	179	619	
177951	170	281	156	92	90	18	6	1	734	2	32	753	496	8	39	818	218	595	
177833	156	330	173	87	86	20	7	1	801	2	37	751	541	1	33	972	248	611	
177699	168	342	182	102	90	19	9	1	877	2	42	762	621	1	22	1073	262	650	
177559	196	342	204	108	87	20	10	1	954	2	50	786	643	7	30	1151	270	697	
177430	196	358	224	107	97	23	10	1	1031	3	53	799	524	4	20	1181	288	727	
177263	202	386	223	115	99	24	11	1	1149	3	57	785	512	3	38	1262	281	779	
177149	211	375	217	120	113	23	11	2	1249	3	60	851	495	3	34	1314	294	776	
177022	196	401	203	122	115	25	14	2	1366	3	64	856	643	6	45	1390	315	761	
176874	213	393	215	126	124	24	12	2	1475	5	70	877	641	5	46	1472	335	772	
176728	213	397	223	139	129	22	12	2	1588	5	75	895	543	2	35	1590	354	781	
176575	210	441	218	139	140	24	12	2	1691	5	76	902	651	4	50	1601	377	807	
176390	259	443	235	146	150	21	13	2	1789	5	80	905	520	7	34	1657	373	894	
176227	258	443	241	155	162	24	14	2	1918	5	84	925	615	5	55	1818	394	903	
176063	268	447	250	156	159	26	14	3	2056	5	86	952	533	9	56	1852	417	903	
175951	229	453	247	153	164	24	12	5	2197	6	92	909	630	5	45	1994	434	848	
175781	250	456	256	136	169	27	11	6	2338	7	96	910	606	5	47	2049	435	870	
175581	296	473	255	137	158	33	12	5	2474	7	102	906	341	7	46	2134	438	926	
175392	298	515	241	140	166	36	13	6	2611	8	107	914	629	9	40	2115	440	969	
175191	289	571	257	132	171	37	14	5	2744	9	113	923	646	10	56	2106	450	1021	
174999	289	569	274	144	182	36	13	7	2892	9	119	918	240	6	47	2186	455	1052	
174870	256	544	281	162	193	35	16	6	3037	10	123	920	610	6	51	2195	478	1009	
174714	238	521	311	187	200	34	16	5	3171	11	125	908	625	9	60	2310	499	1008	
174479	273	573	301	183	179	37	14	6	3345	14	129	909	645	4	71	2367	493	1067	
174248	304	600	302	178	181	38	16	6	3512	14	134	905	541	6	41	2340	493	1126	
174006	312	667	299	182	182	37	18	5	3672	15	138	930	526	5	57	2401	504	1193	
173731	366	685	315	204	181	41	18	7	3827	15	143	905	235	3	50	2389	500	1310	
173461	397	712	352	214	199	45	19	6	3967	15	146	895	660	11	60	2444	504	1434	
173244	389	735	363	210	213	50	20	5	4135	16	153	887	492	7	66	2667	550	1430	
173034	340	745	426	217	222	53	21	5	4293	19	158	876	227	5	69	2765	571	1453	
