S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178607	175	180	70	67	63	17	3	0	351	0	0	243	0	0	0	97	97	478	
178548	121	235	85	69	54	18	3	0	399	0	1	408	705	3	125	174	102	483	
178455	121	260	89	66	61	18	3	0	454	0	6	496	320	3	17	248	108	510	
178359	130	251	116	73	64	17	4	0	506	0	13	577	577	7	24	349	115	540	
178261	141	277	115	76	59	17	4	0	567	0	16	611	345	3	31	465	141	548	
178151	138	307	116	84	75	17	5	0	622	1	17	662	567	3	24	564	161	581	
178043	148	302	142	86	83	19	6	0	680	1	23	697	534	4	29	706	189	597	
177942	145	303	159	88	86	20	6	0	757	1	26	730	514	3	33	855	217	590	
177814	157	322	169	82	92	23	5	0	838	2	29	758	509	2	38	1028	252	598	
177706	158	346	161	83	90	25	7	0	919	2	36	792	510	5	27	1178	272	598	
177595	154	340	181	92	97	27	7	0	996	2	42	799	525	4	19	1201	247	651	
177454	176	348	190	100	110	26	7	1	1072	2	47	811	536	3	38	1273	287	670	
177307	199	349	207	96	115	22	10	1	1171	2	54	819	334	3	32	1368	303	695	
177204	184	366	193	97	110	25	11	1	1277	2	63	814	499	7	28	1381	293	693	
177093	181	358	214	118	112	28	10	2	1349	2	66	807	511	1	30	1431	307	714	
176943	199	379	208	120	116	28	11	2	1455	2	70	832	628	4	29	1457	294	767	
176775	219	404	193	122	128	27	12	2	1571	2	78	832	677	6	43	1503	315	790	
176614	237	416	207	132	128	25	14	1	1673	3	83	820	660	3	45	1567	340	819	
176460	244	430	215	137	127	26	15	2	1784	4	89	848	497	4	38	1597	341	853	
176288	237	479	224	144	132	23	20	2	1880	5	99	834	578	4	40	1669	360	899	
176150	225	465	246	156	147	21	20	3	1990	5	105	860	504	8	37	1766	373	907	
176015	237	443	254	160	156	21	21	3	2107	6	110	867	680	6	42	1778	387	905	
175830	255	463	255	171	159	22	21	3	2233	6	115	852	625	7	57	1867	417	929	
175619	283	490	257	164	173	26	20	4	2368	6	123	860	563	6	53	1974	465	948	
175447	283	522	252	161	171	27	22	2	2513	6	127	823	546	6	60	2111	488	950	
175273	263	536	270	161	173	29	21	5	2662	7	133	801	571	6	42	2179	476	977	
175085	260	549	262	170	172	29	22	5	2826	9	144	789	619	10	48	2231	466	998	
174930	262	527	283	172	181	35	23	5	2960	10	145	793	563	10	39	2249	454	1029	
174756	257	536	280	179	182	35	21	6	3118	12	151	803	534	6	58	2349	454	1036	
174551	265	569	286	195	170	38	19	7	3265	14	154	780	521	4	54	2385	452	1090	
174335	297	589	298	185	165	42	17	8	3426	17	154	800	542	6	68	2504	475	1118	
174102	320	633	300	197	168	47	17	8	3564	18	159	819	546	13	56	2540	483	1199	
173883	320	630	310	219	186	46	15	8	3729	20	167	826	322	5	64	2525	495	1231	
173608	363	639	324	216	201	43	14	8	3923	21	173	797	568	5	67	2554	482	1318	
173405	358	647	333	206	210	45	16	8	4104	21	180	774	585	9	69	2617	508	1307	
173209	344	653	327	218	204	40	15	9	4305	22	187	787	236	8	75	2831	547	1254	
172920	346	747	321	218	212	43	14	10	4482	24	196	783	555	6	80	2950	591	1310	
172634	389	753	351	209	227	50	17	9	4663	26	205	796	652	9	71	3088	605	1391	
172351	410	786	373	224	236	52	16	10	4840	26	209	807	534	7	77	3195	644	1453	
172064	440	804	398	230	238	47	14	10	5051	28	209	808	541	9	63	3293	636	1535	
171754	474	842	414	237	229	46	19	8	5266	28	216	833	599	10	72	3277	640	1621	
171505	452	860	452	232	231	52	23	8	5465	30	223	845	605	8	77	3419	679	1623	
171270	410	851	470	236	247	55	26	9	5700	31	228	851	497	16	76	3534	691	1604	
170936	415	898	498	247	256	58	24	7	5925	33	236	844	511	5	81	3594	705	1691	
170595	466	907	530	268	250	59	28	7	6151	33	239	811	613	8	76	3599	725	1783	
170212	505	981	538	274	246	58	29	6	6408	34	242	810	703	14	81	3620	735	1896	
169840	520	1003	554	297	281	52	27	5	6670	38	246	796	599	10	82	3510	718	2016	
169416	570	1086	576	309	282	48	27	6	6919	40	254	820	685	12	106	3672	746	2152	
169139	538	1050	608	335	285	50	28	6	7196	42	256	844	521	10	80	3763	759	2135	
168824	508	1077	598	355	291	51	27	7	7491	44	260	849	561	8	119	4027	832	2075	
168439	521	1113	624	357	301	50	26	7	7782	45	268	859	577	17	103	4222	868	2124	
167970	588	1159	619	346	337	49	27	7	8110	46	275	887	538	18	96	4266	855	2270	
