S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178598	151	160	68	81	60	8	4	0	402	1	0	212	0	0	0	85	85	447	
178538	116	207	79	76	51	9	4	0	452	1	0	358	689	2	117	202	94	448	
178440	126	239	86	71	53	10	4	0	500	1	3	466	554	3	15	246	94	495	
178343	134	266	85	73	56	10	4	0	555	1	6	540	561	4	26	324	109	519	
178276	124	270	93	75	55	14	6	0	610	1	9	592	706	4	25	416	117	520	
178205	114	277	108	77	61	17	5	1	656	1	11	649	253	3	29	552	146	513	
178100	120	294	122	72	71	16	7	1	714	1	15	702	525	1	34	699	189	513	
177993	138	280	132	78	85	16	7	2	781	1	20	715	532	2	25	818	200	536	
177884	158	276	135	82	94	16	7	3	852	1	25	740	322	1	28	953	221	547	
177784	156	296	141	86	88	17	7	3	923	1	31	790	516	6	29	1082	236	555	
177671	171	303	153	87	87	17	7	4	997	1	35	796	492	3	23	1113	234	591	
177589	153	318	162	78	85	15	9	2	1081	1	40	812	530	4	25	1111	242	578	
177495	139	314	166	82	96	15	9	2	1168	1	46	804	544	3	20	1172	248	573	
177378	152	322	166	97	96	18	7	3	1242	2	50	786	527	3	40	1217	270	588	
177246	169	329	176	98	106	20	7	3	1325	2	52	838	216	4	26	1249	272	633	
177119	180	341	169	101	109	19	10	3	1420	2	60	832	663	2	36	1295	282	647	
176943	212	384	185	103	106	19	10	2	1504	2	63	858	540	4	32	1286	285	734	
176802	218	412	184	114	107	21	12	2	1589	2	70	824	542	1	28	1312	289	779	
176672	201	426	208	119	104	20	13	2	1690	2	76	862	667	8	30	1368	287	804	
176551	200	422	217	117	118	20	14	2	1786	2	84	856	201	3	33	1440	310	798	
176386	209	445	222	123	131	17	15	1	1893	2	89	851	554	6	37	1533	337	825	
176224	230	440	250	117	139	22	15	2	1997	2	95	827	522	6	42	1557	341	872	
176045	249	475	237	128	139	24	16	2	2119	3	96	851	595	7	35	1668	365	903	
175862	271	493	243	127	153	24	12	5	2238	5	100	876	525	3	35	1675	363	960	
175678	279	522	265	128	158	23	14	4	2354	5	103	894	653	7	46	1760	379	1010	
175531	262	535	265	137	160	21	14	4	2489	5	110	886	535	4	48	1785	375	1019	
175378	240	530	297	160	161	22	14	3	2603	6	119	895	530	8	50	1851	396	1028	
175156	297	526	315	156	165	25	14	4	2744	6	125	870	629	8	75	2031	447	1051	
174937	313	536	326	167	171	28	13	5	2902	6	129	895	535	5	48	2104	448	1106	
174697	318	604	335	167	171	32	12	4	3051	7	135	887	656	8	48	2196	453	1186	
174462	329	631	345	191	186	34	13	4	3191	8	139	922	521	5	53	2213	479	1250	
174187	374	674	363	181	193	34	15	5	3359	8	140	894	579	8	67	2332	511	1323	
174007	358	659	380	187	192	37	16	6	3539	8	144	885	522	9	58	2480	514	1315	
173817	314	682	415	203	188	35	16	5	3695	10	153	883	486	7	83	2751	572	1281	
173535	349	728	417	204	190	38	20	5	3876	11	160	901	660	12	67	2828	573	1373	
173248	404	728	419	219	176	46	17	4	4096	14	162	913	651	14	58	2883	569	1440	
172963	431	757	408	223	194	52	16	5	4303	15	166	895	500	9	50	2887	562	1519	
172655	458	807	413	216	206	56	15	7	4514	16	170	891	591	11	81	2925	583	1588	
172329	490	854	437	231	209	52	17	5	4719	17	173	918	514	4	66	3053	601	1689	
172094	440	897	438	235	220	50	17	6	4943	17	176	915	543	12	57	3112	592	1705	
171849	401	874	468	273	231	47	17	4	5171	17	181	897	627	7	68	3198	612	1699	
171538	408	906	485	281	262	47	17	4	5379	20	186	886	689	15	111	3319	687	1719	
171188	464	914	515	266	277	51	16	4	5627	21	190	878	541	9	83	3381	700	1803	
170831	499	931	546	270	302	54	19	3	5862	21	195	863	563	11	92	3394	739	1882	
170425	574	975	552	269	319	59	18	3	6115	23	201	858	621	11	106	3522	804	1962	
170036	610	1034	544	286	340	58	18	5	6372	24	206	847	542	13	78	3660	820	2070	
169753	547	1089	583	270	318	61	19	6	6652	26	209	820	526	7	86	3885	823	2064	
169457	470	1102	611	287	335	61	20	8	6942	26	214	815	545	15	98	3927	815	2071	
169032	507	1142	624	313	335	57	20	9	7245	27	222	796	670	12	102	4163	833	2165	
168601	566	1159	662	325	354	60	20	9	7523	27	227	811	601	13	100	4334	845	2301	
168164	608	1173	674	341	370	66	22	9	7848	27	231	826	644	20	112	4581	873	2381	
167725	619	1218	677	354	369	69	25	8	8204	27	238	814	646	24	133	4599	902	2429	
167203	686	1304	709	336	370	69	27	9	8548	27	245	877	647	16	133	4811	960	2541	
166847	667	1253	760	359	372	75	29	12	8878	27	254	833	614	12	99	4859	971	2544	
166514	600	1244	756	378	392	71	29	13	9252	28	256	850	654	19	130	4979	998	2472	
166015	660	1305	727	388	389	74	31	12	9637	31	264	813	645	18	136	5233	1056	2518	
165520	727	1299	735	400	416	79	30	13	10012	32	270	825	557	21	109	5393	1091	2595	
165029	752	1345	747	410	449	77	32	13	10370	34	275	852	639	21	130	5554	1127	2685	
164510	792	1389	797	414	430	81	35	10	10758	36	281	823	668	27	132	5728	1153	2785	
163989	806	1447	833	432	440	81	33	9	11132	40	291	799	684	16	116	5781	1160	2912	
163570	737	1478	840	461	462	80	32	9	11528	41	295	847	639	21	123	5887	1180	2910	
163200	641	1504	844	465	449	79	33	9	11968	43	298	825	626	19	161	6001	1206	2809	
162650	701	1528	867	476	454	79	35	10	12383	45	305	841	569	25	165	6141	1241	2899	
162105	788	1524	855	481	487	80	40	11	12806	46	310	840	672	17	155	6427	1293	2962	
161536	819	1572	858	523	496	79	38	13	13235	50	314	834	631	13	146	6455	1295	3090	
160934	845	1677	860	528	494	88	40	15	13686	51	315	847	624	14	160	6496	1319	3213	
160316	885	1704	923	555	523	92	40	16	14105	53	321	855	656	17	151	6747	1369	3353	
159852	848	1655	934	549	542	94	51	15	14611	55	327	886	562	26	157	6934	1424	3249	
159392	778	1654	956	574	535	97	52	18	15089	55	333	866	641	27	183	7087	1483	3163	
158767	817	1683	977	564	534	110	50	20	15616	58	337	838	650	22	199	7423	1530	3205	
158151	882	1765	959	566	504	107	53	23	16116	59	348	831	521	13	168	7639	1540	3296	
157530	923	1809	971	558	514	110	56	22	16628	61	351	830	672	11	131	7508	1490	3451	
156897	947	1861	1019	548	512	120	65	23	17125	61	355	838	642	24	175	7541	1527	3545	
156218	986	1904	1054	587	545	118	68	22	17608	62	361	828	657	17	153	7501	1513	3749	
155708	931	1899	1059	601	561	124	67	19	18134	65	365	862	692	25	205	7872	1578	3664	
155260	849	1839	1102	600	555	126	70	16	18682	67	367	843	553	21	187	7972	1585	3556	
154571	903	1888	1118	581	594	134	72	18	19214	69	371	857	648	25	183	8094	1619	3671	
153922	961	1914	1128	569	589	143	78	17	19762	73	377	854	653	21	176	8144	1649	3733	
153196	1027	1938	1201	581	609	139	83	19	20281	77	382	851	725	22	168	8043	1662	3916	
152493	1058	2008	1162	611	614	137	84	20	20876	84	386	840	719	22	179	7967	1613	4061	
151805	1042	2109	1165	628	643	132	82	21	21426	87	393	863	661	27	211	8183	1732	4069	
151334	899	2076	1192	662	630	125	81	21	22027	91	395	830	671	28	178	8517	1694	3971	
150866	798	2004	1216	643	665	125	80	23	22616	95	402	849	666	26	193	8522	1665	3866	
150150	896	1977	1213	681	649	131	88	22	23223	97	406	847	645	32	236	8842	1771	3864	
149429	982	1962	1236	688	661	124	86	24	23830	99	412	846	648	26	194	8821	1776	3963	
148757	1006	1999	1234	655	644	128	89	25	24476	102	418	844	673	36	197	8892	1777	3978	
148065	1031	2032	1239	633	661	127	81	30	25099	109	426	837	589	26	185	8885	1761	4043	
147388	1065	2062	1244	633	652	129	81	28	25708	113	430	840	681	25	206	8985	1771	4095	
146909	977	1976	1296	639	668	127	79	24	26283	118	437	842	555	22	174	9054	1750	4012	
146409	848	2003	1284	657	668	122	76	25	26878	122	441	853	620	20	179	9081	1774	3884	
145752	898	1958	1301	686	662	124	80	29	27473	124	446	863	700	31	218	8989	1810	3899	
145057	970	1967	1278	647	651	135	81	30	28139	127	451	858	690	23	212	9150	1801	3928	
144387	977	1988	1287	639	640	135	80	26	28783	134	457	905	695	19	183	9122	1758	3988	
143674	1039	1999	1263	645	656	129	81	26	29417	138	466	893	651	33	212	8833	1730	4082	
142968	1079	2046	1279	667	647	124	81	28	30006	139	469	883	660	25	194	8960	1775	4148	
142495	961	2029	1254	632	665	121	79	33	30648	141	475	876	648	33	171	8962	1776	3965	
