S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178581	150	178	102	56	78	12	2	0	373	1	0	216	0	0	0	96	96	482	
178512	116	234	99	62	66	15	4	0	421	1	3	361	719	4	128	198	110	486	
178429	109	252	112	68	61	16	4	0	475	1	6	434	530	0	20	286	121	501	
178322	123	281	113	74	60	18	5	0	527	1	9	513	234	0	18	361	127	547	
178248	121	260	130	90	67	19	5	0	577	1	15	572	218	2	24	460	141	551	
178163	121	265	133	81	71	21	6	0	652	1	19	663	360	2	23	567	160	538	
178080	122	247	148	91	71	21	8	0	717	1	27	707	553	1	38	731	186	522	
177993	127	239	158	77	81	20	9	0	793	2	34	743	526	3	24	854	195	516	
177889	142	244	161	73	93	18	10	0	861	2	40	763	623	1	34	1015	218	523	
177784	141	272	171	77	85	18	11	0	925	2	47	778	203	1	28	1174	246	529	
177671	143	287	178	89	91	17	9	2	993	2	51	796	209	2	19	1193	235	579	
177579	138	277	186	94	92	20	10	3	1077	2	55	781	240	2	32	1204	247	570	
177488	140	288	171	89	94	21	10	2	1170	2	58	818	556	1	29	1238	255	558	
177387	133	297	164	90	100	21	10	4	1265	2	60	805	531	7	30	1316	270	545	
177287	133	300	168	91	90	20	11	4	1365	2	62	821	624	2	32	1352	268	545	
177162	157	293	163	97	93	20	10	4	1467	2	65	820	507	7	28	1395	261	572	
177040	166	306	184	88	92	22	12	4	1546	2	71	865	225	6	41	1379	267	603	
176928	169	297	195	89	97	19	11	5	1641	3	79	842	531	2	34	1407	272	605	
176854	146	314	195	83	98	19	10	5	1723	4	82	855	528	4	31	1418	269	596	
176769	130	316	196	84	100	20	11	6	1813	4	84	875	221	2	24	1415	258	599	
176655	129	322	194	86	106	17	10	5	1918	5	86	875	552	5	34	1476	260	604	
176539	152	303	193	95	104	19	12	4	2016	5	91	882	581	8	33	1452	258	620	
176423	156	323	187	104	97	20	11	5	2103	6	98	863	558	2	29	1472	257	641	
176295	169	339	189	109	100	19	13	4	2189	6	101	842	612	3	37	1488	251	687	
176179	180	347	196	113	92	21	15	3	2277	6	104	851	593	2	41	1496	260	704	
176065	179	366	190	106	94	21	13	3	2378	8	110	850	523	2	27	1501	260	709	
175948	178	361	198	117	114	20	12	4	2456	8	117	814	533	5	32	1450	268	732	
175787	196	384	194	117	126	22	11	6	2558	8	124	836	703	4	49	1506	293	757	
175630	228	378	203	128	126	26	10	8	2658	8	130	841	506	5	40	1536	306	793	
175476	223	434	200	122	125	23	11	7	2770	8	134	846	503	10	29	1538	299	839	
175293	241	469	201	127	129	26	12	6	2878	8	143	879	519	4	32	1574	308	897	
175100	268	477	225	144	132	28	14	6	2984	8	147	841	631	9	39	1584	312	976	
174953	260	486	253	143	135	30	14	5	3096	8	150	869	508	6	57	1688	339	982	
174831	223	505	275	141	137	33	13	7	3207	8	153	862	503	5	44	1747	352	975	
174622	242	533	299	143	137	32	16	9	3329	8	163	885	623	7	53	1788	390	1012	
174431	269	530	304	155	143	34	15	8	3467	11	166	904	606	9	47	1873	392	1058	
174215	284	565	315	166	148	32	15	9	3604	11	169	881	612	4	48	1963	405	1120	
174001	301	562	329	181	164	34	12	11	3753	13	172	847	499	9	52	1967	416	1167	
173763	329	596	323	187	171	37	14	9	3916	13	175	873	509	12	50	2045	424	1233	
173588	302	620	335	188	171	38	16	9	4074	13	179	874	534	13	56	2205	439	1231	
173417	279	622	340	204	182	37	18	8	4232	13	181	888	630	16	60	2310	480	1202	
173156	303	647	354	207	199	38	18	10	4401	15	185	882	630	8	67	2458	527	1239	
172884	346	663	390	212	191	39	19	9	4571	15	194	891	540	7	62	2515	535	1325	
172614	360	704	404	206	191	45	19	9	4765	16	200	873	497	8	57	2613	538	1391	
172321	401	748	407	208	205	56	23	8	4931	16	209	847	520	7	71	2656	550	1498	
172035	424	771	405	221	222	50	22	8	5145	16	214	889	505	5	72	2773	563	1552	
171814	373	812	405	234	219	54	26	8	5349	16	223	865	655	12	58	2852	560	1563	
171575	382	786	431	219	231	51	27	8	5577	17	229	873	561	10	84	3056	576	1551	
171251	433	790	452	247	231	50	27	6	5793	17	236	866	658	10	97	3201	611	1619	
170936	457	825	464	259	224	48	23	9	6024	19	245	878	636	14	86	3357	637	1663	
170582	485	897	455	278	248	51	22	8	6235	20	252	870	534	12	69	3366	656	1780	
170263	510	897	493	282	257	46	22	11	6474	21	257	890	499	8	83	3413	669	1838	
