S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178530	198	199	82	63	66	14	3	0	377	1	0	232	0	0	0	92	92	533	
178433	155	294	84	57	67	14	3	1	422	1	2	355	701	4	121	182	111	563	
178328	164	309	104	61	70	13	4	1	476	1	2	449	679	3	19	241	114	611	
178224	171	315	124	67	79	13	5	2	524	1	8	531	352	3	22	333	128	646	
178130	173	315	145	70	83	13	6	2	585	1	10	590	538	3	23	427	143	662	
178051	149	309	165	79	92	14	11	2	648	1	12	667	629	3	31	569	173	646	
177932	163	304	170	83	99	15	11	1	738	1	16	713	615	4	36	697	193	652	
177827	169	313	173	92	97	15	12	1	817	1	16	763	608	5	36	856	228	643	
177704	183	322	183	86	99	18	13	1	903	2	19	776	620	3	38	1019	265	639	
177582	178	348	191	99	91	19	11	1	986	3	24	785	488	4	33	1178	280	657	
177440	190	375	200	100	94	19	13	1	1070	3	28	804	515	2	18	1189	255	736	
177338	167	385	198	108	98	20	12	2	1173	3	29	816	535	7	25	1243	267	721	
177250	155	368	202	108	101	21	13	2	1278	4	31	816	202	4	27	1328	268	700	
177108	175	377	211	99	108	22	13	3	1379	4	34	839	635	3	42	1384	296	709	
176983	177	380	216	116	115	22	11	4	1465	5	39	846	531	4	34	1456	312	725	
176852	179	381	216	124	117	22	10	5	1577	6	44	799	580	6	30	1474	314	735	
176697	195	402	218	125	120	20	10	5	1685	6	50	824	559	3	40	1510	325	765	
176556	209	404	208	114	130	22	10	4	1817	7	52	795	489	1	39	1533	311	786	
176441	198	402	224	118	131	23	13	4	1914	7	58	815	558	6	39	1541	319	790	
176317	215	381	240	126	135	23	13	3	2010	8	62	854	510	6	39	1557	328	805	
176166	226	397	243	125	130	25	14	4	2128	8	67	839	516	4	50	1700	357	803	
175990	249	396	256	135	130	30	15	4	2246	8	74	826	240	3	33	1712	354	857	
175851	239	422	242	132	127	31	15	4	2380	8	82	848	556	3	45	1757	351	857	
175683	239	426	273	135	129	25	16	5	2506	8	88	859	554	5	32	1712	329	914	
175510	235	461	275	143	123	24	14	5	2638	10	95	845	515	5	37	1729	338	937	
175367	243	458	282	144	129	25	18	4	2756	10	97	845	557	3	35	1773	341	958	
175238	230	452	279	160	132	29	17	6	2877	10	103	802	664	5	37	1744	339	960	
175065	223	498	261	156	139	29	19	6	3019	10	108	808	519	5	60	1830	366	959	
174863	249	530	262	151	139	30	21	7	3161	10	110	838	247	4	55	1903	392	990	
174649	292	537	275	161	157	29	17	7	3284	13	112	809	543	6	34	1944	380	1088	
174455	298	559	274	159	166	30	15	8	3438	15	116	844	509	5	49	1924	371	1130	
174238	305	611	281	148	189	25	17	8	3573	15	123	841	533	4	46	1980	383	1193	
174085	279	604	301	161	186	30	16	9	3721	16	125	829	530	4	59	2037	414	1163	
173909	257	617	308	170	193	29	19	9	3876	16	130	845	525	6	57	2188	422	1171	
173676	284	618	315	169	207	30	20	9	4051	16	138	853	624	8	89	2388	485	1158	
173470	296	611	341	177	199	32	22	9	4215	18	143	849	510	7	69	2552	506	1172	
173220	318	622	377	176	203	37	22	10	4381	19	148	858	532	8	47	2616	505	1250	
172994	336	624	377	189	196	41	19	11	4576	20	150	869	680	3	70	2625	509	1273	
172748	355	673	360	196	196	41	18	9	4763	21	153	880	555	10	56	2662	517	1322	
172549	344	661	383	212	218	42	16	9	4917	22	160	894	510	5	57	2796	533	1343	
172370	305	665	379	215	226	45	15	9	5115	24	165	868	554	6	76	2874	541	1309	
172104	335	682	368	223	226	47	15	10	5324	26	173	888	666	6	82	3006	566	1330	
171823	388	693	370	217	238	51	17	11	5519	27	179	887	531	5	74	3080	582	1392	
171571	395	700	396	246	249	52	17	10	5684	28	185	897	535	14	80	3171	612	1443	
171249	420	767	412	250	246	53	18	10	5893	28	187	949	478	3	78	3103	634	1532	
170943	440	813	412	263	260	54	21	6	6097	28	196	961	653	11	76	3142	649	1614	
170713	426	780	464	263	259	50	23	6	6321	28	200	945	551	11	78	3316	651	1614	
170475	410	773	480	271	256	47	24	7	6559	29	202	929	514	12	79	3355	654	1607	
170167	413	837	478	251	254	50	26	7	6809	29	212	919	682	12	90	3538	688	1621	
169860	437	865	484	257	260	49	27	6	7041	32	215	915	516	16	77	3679	709	1670	
169566	423	882	504	272	260	49	26	5	7290	34	222	901	232	6	80	3732	706	1710	
169224	462	925	493	286	283	52	25	6	7517	36	224	892	639	7	65	3686	706	1820	
168827	546	954	483	298	297	54	24	7	7777	36	230	868	564	13	103	3760	763	1893	
168568	494	975	497	286	305	62	25	5	8047	37	232	889	539	17	83	3800	771	1873	
168306	435	991	526	295	301	69	25	4	8298	40	243	906	694	12	103	3880	798	1844	
167946	468	1005	563	311	300	71	23	5	8549	42	250	913	641	13	106	3991	863	1878	
167607	478	1010	592	325	300	65	22	6	8835	42	251	929	614	11	88	4089	859	1933	
167215	522	1032	599	330	318	66	28	7	9114	43	259	904	466	12	85	4180	862	2033	
166836	568	1051	625	308	316	67	28	10	9412	46	266	899	594	19	107	4166	880	2083	
166466	561	1101	636	298	343	64	30	10	9703	46	275	914	592	10	93	4254	878	2155	
166225	491	1059	635	338	324	59	31	11	10033	47	280	912	526	15	106	4440	895	2042	
165952	440	1048	632	337	339	58	33	11	10352	47	284	891	527	15	102	4647	923	1964	
165543	479	1075	657	329	342	64	30	15	10657	49	293	904	682	15	117	4678	954	2022	
165176	517	1045	684	320	342	71	31	14	10984	50	299	902	603	8	94	4707	927	2083	
164778	561	1063	687	329	331	72	30	12	11316	53	301	868	659	15	109	4714	929	2144	
164400	544	1111	671	343	351	73	32	10	11636	54	308	855	652	21	97	4683	922	2203	
164029	542	1129	653	366	355	74	33	11	11970	56	315	849	492	15	100	4809	924	2228	
163737	501	1122	670	342	361	77	38	10	12299	58	318	842	539	13	103	4911	949	2162	
163461	467	1071	651	353	378	78	44	11	12636	58	325	859	552	10	106	4920	949	2093	
163061	520	1105	664	338	349	78	44	15	12968	59	332	872	626	12	154	5164	1013	2085	
162689	534	1110	656	349	356	75	43	12	13308	63	338	849	578	11	96	5108	997	2126	
