S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178570	160	160	88	66	60	16	6	0	407	0	0	280	0	0	0	102	102	454	
178493	126	233	80	71	54	20	7	0	448	0	1	402	699	4	125	194	114	477	
178402	126	260	86	72	57	20	5	2	500	0	3	508	239	0	16	259	114	512	
178305	132	280	99	75	64	19	6	2	545	0	6	585	225	1	20	339	127	548	
178216	130	289	116	77	75	19	6	2	595	0	8	641	656	2	18	410	132	580	
178135	123	292	135	73	85	18	7	2	654	0	9	664	564	3	34	527	161	572	
178040	119	297	150	83	86	20	6	2	716	1	13	762	489	4	40	692	200	561	
177921	129	311	150	85	99	20	7	2	787	1	21	787	203	0	30	844	231	570	
177810	144	317	149	92	107	19	7	2	861	1	24	799	398	3	30	977	252	583	
177687	154	323	168	102	105	22	10	2	930	1	29	795	321	1	33	1123	278	606	
177562	168	309	192	110	98	22	10	2	1023	1	36	808	542	4	33	1203	263	646	
177465	146	344	173	98	102	26	10	2	1127	2	38	829	554	3	38	1276	281	618	
177364	143	348	167	102	106	26	10	2	1222	2	41	835	557	4	31	1411	280	622	
177229	167	366	157	102	109	26	9	3	1318	2	45	845	637	5	38	1489	297	639	
177080	192	368	176	109	113	25	8	4	1402	2	54	803	248	3	25	1581	304	687	
176937	204	376	190	110	120	25	9	4	1496	3	59	842	497	1	27	1587	313	721	
176779	223	405	205	120	99	24	11	3	1598	3	63	860	378	4	32	1519	300	787	
176611	234	430	224	128	98	23	15	2	1699	3	66	876	509	3	29	1545	301	851	
176506	217	427	234	122	101	23	12	4	1813	4	70	865	552	3	28	1546	298	838	
176394	190	430	234	126	103	21	10	4	1938	6	77	829	553	2	37	1592	303	811	
176226	209	428	229	147	119	19	10	5	2051	6	84	837	614	7	36	1593	297	864	
176036	249	439	227	155	127	16	11	4	2173	6	90	840	626	7	53	1584	324	900	
175865	255	466	228	150	132	17	11	4	2303	7	95	840	650	7	40	1624	330	929	
175693	255	494	233	147	133	17	11	5	2437	7	101	849	242	3	44	1703	360	930	
175522	261	499	255	146	145	21	9	5	2553	9	108	864	520	6	46	1808	372	964	
175368	246	522	261	140	158	19	9	5	2686	9	110	874	552	9	40	1859	372	983	
175240	227	520	269	139	153	20	11	4	2825	10	115	890	528	6	49	1958	379	960	
175007	241	584	277	148	159	16	14	3	2953	10	121	877	661	4	49	2039	409	1030	
174757	297	579	300	157	185	18	15	2	3084	11	128	871	524	6	41	2168	429	1122	
174514	334	595	314	171	181	23	20	2	3230	11	138	855	651	9	66	2277	452	1186	
174264	364	623	333	170	183	28	18	4	3389	12	145	842	531	12	57	2361	485	1234	
174005	377	657	360	186	170	32	16	5	3557	14	154	839	635	10	56	2401	495	1303	
173832	366	629	354	201	183	31	18	5	3738	15	161	823	558	5	56	2520	514	1268	
173662	320	658	357	198	189	36	20	5	3906	16	166	857	572	10	61	2581	536	1242	
173424	349	641	393	181	201	38	23	5	4090	17	171	896	230	7	68	2649	532	1294	
173157	364	708	389	187	188	41	26	5	4276	17	175	898	542	4	66	2774	551	1352	
172905	374	737	407	195	198	46	26	5	4442	19	179	907	684	7	51	2788	546	1437	
172627	397	751	430	210	223	45	25	5	4621	20	179	897	528	6	67	2816	559	1522	
172353	412	758	441	223	219	47	23	8	4845	20	184	911	588	10	77	2934	562	1561	
172131	387	760	448	237	223	52	27	8	5046	22	192	909	550	8	76	2958	590	1544	
171915	358	736	477	260	251	52	30	7	5227	22	198	884	558	14	78	3038	631	1533	
171584	411	773	465	275	247	51	27	8	5462	25	205	873	640	7	102	3186	683	1566	
171257	452	806	466	285	258	42	25	9	5695	28	210	864	547	5	69	3207	684	1650	
170911	479	839	507	278	255	46	30	9	5935	28	216	873	526	11	90	3313	701	1733	
170562	480	924	503	287	259	46	29	8	6181	30	224	878	542	10	93	3414	748	1780	
170221	490	972	546	258	271	48	28	8	6429	30	232	873	549	15	78	3444	735	1878	
169956	434	1006	541	283	259	54	30	8	6696	31	235	862	505	11	68	3593	722	1885	
169619	427	1035	577	292	262	60	29	9	6947	34	242	875	529	13	82	3723	737	1945	
169229	470	1064	568	306	284	61	29	9	7232	34	247	869	640	18	97	3781	742	2040	
168822	558	1082	575	323	285	66	34	9	7493	34	252	853	612	15	103	3922	786	2137	
168420	584	1138	592	339	294	68	33	9	7762	36	258	830	678	14	88	3966	821	2227	
168021	596	1147	609	357	310	73	37	8	8076	38	261	830	630	11	99	3943	839	2290	
167589	618	1214	594	364	348	75	31	11	8384	41	264	824	538	19	113	4135	885	2359	
167257	592	1204	647	379	340	81	29	11	8672	45	276	819	670	13	113	4331	903	2369	
166939	525	1191	658	403	364	84	35	13	8994	45	282	829	663	15	119	4491	921	2339	
166489	572	1242	676	384	376	85	41	10	9324	46	288	812	596	19	159	4800	1034	2342	
166037	628	1270	681	407	374	91	41	11	9652	47	294	807	679	11	108	5044	1068	2424	
165566	655	1335	683	410	377	90	44	10	10016	48	299	832	472	16	125	5241	1097	2497	
165086	682	1356	730	423	369	89	44	14	10381	51	308	845	682	23	117	5361	1098	2595	
164638	695	1384	753	445	371	90	46	13	10737	51	310	839	673	22	127	5434	1100	2684	
164293	603	1392	754	433	414	85	47	12	11133	52	315	850	540	14	104	5585	1114	2614	
163947	574	1307	801	431	417	81	48	12	11539	56	320	831	535	13	138	5801	1139	2520	
163444	614	1373	805	416	416	80	50	10	11937	58	330	811	690	15	168	5985	1165	2589	
162961	656	1387	804	415	421	79	48	12	12353	61	336	814	652	9	113	6000	1148	2662	
162445	726	1398	788	447	428	77	44	14	12760	65	341	825	524	13	131	6043	1157	2751	
161910	793	1424	790	459	429	80	45	13	13170	69	351	814	523	25	127	5990	1166	2854	
161416	790	1464	840	451	446	78	47	12	13559	73	357	848	670	14	134	6155	1219	2897	
161079	697	1439	845	457	442	84	43	15	13996	76	360	859	498	17	116	6198	1194	2813	
160759	582	1403	877	450	458	87	46	13	14420	78	360	821	582	21	128	6310	1194	2709	
160275	617	1384	901	453	457	83	47	15	14850	82	369	840	643	13	176	6406	1233	2709	
159814	667	1329	891	466	473	83	47	19	15282	84	378	845	544	26	148	6585	1267	2689	
159348	703	1347	852	457	481	87	44	16	15729	87	382	863	624	18	152	6675	1303	2668	
158867	701	1427	845	425	477	90	46	15	16164	90	386	849	532	20	141	6579	1305	2706	
158341	733	1463	868	439	485	83	44	20	16572	91	394	826	630	25	124	6643	1311	2804	
158027	686	1357	883	454	490	84	41	20	16996	94	401	812	708	27	126	6719	1303	2692	
157724	582	1331	892	437	475	90	44	21	17438	94	405	842	699	8	138	6771	1311	2540	
157293	589	1353	880	420	458	89	42	23	17881	96	409	862	675	16	153	6869	1310	2521	
156857	607	1350	889	397	453	92	41	18	18316	99	414	827	651	21	117	6965	1278	2551	
156411	636	1356	854	406	471	98	41	17	18723	102	418	827	568	13	111	6970	1281	2581	
155996	651	1310	866	421	463	97	40	20	19147	102	420	811	675	15	138	6735	1233	2615	
155556	641	1343	879	411	465	97	40	23	19550	104	424	810	564	15	126	6675	1227	2649	
155264	571	1252	879	437	462	98	39	23	19972	108	428	814	541	10	137	6693	1230	2508	
154951	534	1212	874	441	414	96	40	24	20404	109	434	843	532	15	119	6603	1206	2405	
154568	540	1242	845	418	389	92	40	21	20825	112	441	827	639	17	126	6546	1170	2396	
154132	613	1247	805	410	370	99	40	22	21234	115	446	863	341	11	99	6335	1148	2436	
153716	634	1229	818	429	391	98	40	21	21593	116	448	869	621	13	118	6163	1110	2529	
153299	636	1231	825	447	376	99	38	21	21987	118	456	879	628	13	112	6011	1100	2552	
152885	643	1256	809	421	378	103	38	20	22399	122	459	876	665	10	126	6008	1093	2555	
152604	586	1169	820	426	394	103	42	19	22782	122	466	875	560	15	134	6108	1111	2429	
152330	480	1176	802	398	396	107	44	20	23182	123	475	902	561	6	129	6021	1113	2290	
151926	531	1151	759	406	401	105	49	18	23584	124	479	934	653	15	148	6094	1151	2251	
151559	581	1114	756	371	404	98	55	17	23967	126	485	936	648	16	120	5967	1135	2244	
151316	494	1113	721	361	378	97	57	15	24366	127	488	901	541	9	99	5916	1105	2116	
151072	411	1070	703	367	396	93	58	15	24722	130	496	891	522	6	100	5808	1080	2018	
150792	430	980	666	352	402	98	58	15	25104	133	503	902	518	17	112	5913	1085	1901	
150543	420	905	676	358	406	89	56	17	25421	135	507	825	547	13	109	5853	1089	1821	
150338	386	842	673	337	394	92	54	16	25753	138	510	860	515	13	100	5900	1071	1707	
150123	356	819	644	314	374	90	51	20	26085	141	516	875	514	10	90	5823	1053	1595	
149937	353	736	624	298	361	80	47	19	26415	146	517	841	559	6	85	5621	1006	1493	
149761	317	713	580	272	317	76	37	22	26757	155	526	852	523	11	88	5394	918	1394	
149594	294	654	545	270	299	77	41	19	27049	158	533	909	246	7	71	4975	843	1337	
149432	256	646	509	255	279	77	38	17	27324	163	537	892	644	8	82	4826	823	1237	
149272	239	609	491	237	262	81	33	18	27581	167	543	877	542	3	75	4718	814	1138	
149133	229	558	460	233	254	80	31	21	27823	167	544	906	524	4	51	4543	751	1094	
148992	219	528	439	214	239	78	31	20	28058	167	548	880	530	1	66	4314	700	1048	
148832	227	505	390	209	238	70	30	20	28291	169	552	897	540	7	55	4124	658	1011	
148685	233	475	367	198	213	64	34	18	28522	169	555	887	569	9	65	3871	636	948	
148544	218	489	332	191	192	58	33	16	28729	170	561	881	509	5	54	3669	581	932	
148391	213	484	337	203	169	58	30	16	28889	175	568	889	538	6	57	3539	563	931	
148278	193	453	343	186	166	57	27	13	29065	178	574	877	521	2	41	3337	521	904	
148176	176	431	346	155	151	55	23	13	29241	183	583	870	649	10	47	3185	507	830	
148047	178	415	335	151	144	54	20	11	29406	186	586	881	278	3	43	2932	474	823	
147925	179	386	313	152	149	55	19	10	29565	188	592	854	645	2	37	2709	440	813	
147793	182	395	291	139	141	48	20	8	29734	188	594	905	652	6	46	2696	406	810	
147673	170	398	296	135	133	49	17	8	29861	192	601	862	349	7	34	2559	383	815	
147568	159	377	293	134	142	46	14	9	29991	194	606	853	547	3	39	2441	375	790	
147466	144	373	274	139	129	45	11	9	30139	195	609	884	551	6	44	2313	373	742	
147390	123	357	262	128	122	39	11	9	30282	196	614	850	648	5	43	2209	348	694	
147278	145	341	249	135	113	34	11	8	30403	197	619	865	506	5	43	2120	357	671	
147164	165	332	234	120	115	36	11	6	30527	198	625	893	199	2	28	2072	345	668	
147065	166	317	225	117	114	33	10	8	30646	198	634	838	347	4	40	2043	342	640	
146966	167	305	219	105	112	34	13	7	30763	198	644	823	224	3	31	1964	325	630	
