S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ
178598	154	195	69	63	55	10	2	0	386	1	0	225	0	0	0	76	76	472	
178530	130	234	78	70	51	10	3	0	424	1	2	360	717	1	99	161	81	495	
178428	130	273	90	65	61	12	2	2	464	1	5	472	684	3	25	254	105	528	
178340	141	277	98	67	68	11	2	2	521	1	5	568	324	2	23	343	117	547	
178268	129	265	128	73	73	14	3	2	568	1	9	600	559	1	23	424	123	562	
178178	127	273	138	80	84	10	6	2	622	1	12	640	536	1	33	580	158	560	
178065	144	277	138	91	90	9	5	2	693	2	17	727	623	3	37	717	187	567	
177940	164	298	147	85	91	9	5	4	767	2	21	718	658	3	25	850	206	593	
177821	175	299	165	90	92	9	5	4	844	2	27	762	581	1	21	959	226	609	
177722	157	315	173	81	104	13	5	4	920	3	36	801	219	1	29	1117	255	593	
177613	163	322	175	79	95	17	6	3	1018	3	39	822	500	4	28	1180	260	597	
177520	141	349	180	82	95	17	7	2	1092	3	45	806	626	3	29	1230	277	594	
177426	127	340	189	93	89	18	7	1	1186	5	52	811	201	3	29	1284	267	596	
177315	140	326	196	99	94	19	6	1	1275	6	56	813	633	2	33	1332	274	606	
177184	164	321	206	106	101	22	4	2	1353	7	63	833	514	8	32	1402	288	636	
177042	186	319	207	108	116	19	4	1	1454	7	70	836	523	5	38	1395	283	676	
176917	177	345	209	101	118	20	6	1	1555	8	76	859	535	4	30	1389	273	703	
176785	178	373	212	103	112	21	6	1	1653	8	81	839	557	7	30	1416	271	734	
176675	183	356	221	104	124	21	6	2	1744	9	88	821	514	9	40	1548	295	720	
176558	175	373	228	120	118	20	7	2	1829	9	94	814	584	6	36	1596	316	725	
176409	210	365	244	101	127	24	8	3	1935	9	98	801	577	7	43	1649	331	748	
176261	223	386	232	100	124	25	9	3	2058	9	103	843	520	3	37	1647	324	775	
176119	213	423	225	103	126	25	10	4	2165	9	111	857	621	5	26	1632	327	798	
175956	220	440	242	119	124	24	11	5	2269	9	114	872	524	4	40	1680	348	832	
175784	228	470	242	132	129	27	12	4	2379	9	117	889	348	6	31	1706	346	894	
175654	208	476	254	143	136	28	13	4	2483	11	123	860	514	9	42	1753	367	891	
175515	203	468	258	142	156	28	13	4	2608	12	126	882	655	7	44	1811	388	880	
175332	220	496	268	141	138	28	10	6	2745	13	136	865	650	3	60	1957	408	893	
175138	275	480	264	138	146	33	9	6	2891	14	139	853	536	9	27	1886	364	981	
174949	291	509	259	143	155	36	10	4	3022	14	141	852	510	6	54	1942	380	1023	
174752	294	521	277	155	169	35	10	4	3153	14	149	860	493	10	53	2039	395	1066	
174539	301	557	296	147	178	39	10	3	3290	15	158	841	558	6	57	2146	420	1108	
174351	295	577	309	164	171	39	12	2	3435	15	163	857	510	7	48	2244	425	1142	
174167	284	556	320	171	181	38	13	2	3616	15	170	859	321	10	67	2357	435	1128	
173927	312	599	333	168	176	40	14	3	3772	15	174	882	523	7	60	2476	474	1168	
173696	352	608	342	177	184	39	11	5	3926	17	176	877	621	3	65	2562	504	1209	
173459	351	646	353	195	191	40	10	5	4087	18	178	843	576	6	42	2612	509	1277	
173205	338	695	367	201	198	37	11	6	4269	18	188	837	519	10	60	2616	525	1322	
172948	351	729	372	209	223	36	13	6	4437	18	191	866	575	4	52	2738	541	1392	
