S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ	MUT	HOM	VAC	NI
178902	116	137	64	39	43	6	1	0	225	0	0	239	0	0	0	61	61	345	0	179533	0	0
178838	82	197	60	33	43	6	3	0	270	0	1	391	311	2	81	107	62	362	0	17600	0	63
178753	98	220	73	39	38	7	5	0	296	0	4	459	174	1	14	446	70	410	0	17851	0	77
178666	114	213	100	39	51	9	6	0	327	0	8	557	355	1	16	951	88	444	0	18723	0	82
178572	118	228	113	54	51	12	6	0	367	0	12	639	267	2	18	1059	105	477	0	18777	0	89
178471	134	236	118	56	55	18	5	1	423	0	16	664	262	2	26	2136	136	486	0	20383	0	97
178390	124	263	117	55	60	19	5	1	482	0	17	683	111	0	19	2226	155	488	0	42822	0	80
178291	136	266	123	68	63	21	4	2	537	0	22	744	253	2	21	2874	180	501	0	43388	0	93
178179	142	292	133	71	69	21	5	2	593	0	26	747	278	2	27	4733	223	510	0	21981	0	107
178051	161	310	140	75	79	22	7	2	652	0	34	817	364	4	22	5152	247	547	0	22938	0	118
177941	166	316	153	74	83	29	7	2	722	1	39	857	258	3	34	5269	264	564	0	23212	0	105
177822	175	336	166	84	74	28	10	1	791	1	45	842	153	3	28	5267	289	584	0	23371	0	113
177694	202	317	191	86	79	26	9	2	874	1	52	878	251	0	14	4799	270	640	0	24037	0	120
177609	176	315	215	87	84	28	9	1	951	1	57	878	271	3	28	4849	300	614	0	45121	0	78
177512	159	325	210	86	94	26	10	1	1050	1	59	886	270	2	39	5015	343	567	0	45585	0	95
177401	150	341	202	88	84	25	9	1	1162	3	67	881	255	1	31	4669	326	573	0	23812	0	103
177267	179	332	219	92	82	25	10	0	1250	4	73	881	114	2	26	4257	335	604	0	22767	0	128
177110	201	363	218	96	78	24	10	0	1348	5	80	862	137	1	26	3545	341	649	0	22421	0	150
176967	211	405	200	97	88	25	11	0	1439	6	84	867	281	2	22	2697	347	690	0	21724	0	139
176836	220	397	211	101	92	26	11	0	1544	6	89	881	116	1	33	5358	366	692	0	22455	0	126
176721	203	402	221	103	96	23	14	1	1649	6	94	899	277	1	32	5323	361	701	0	45489	0	110
176616	170	404	248	111	94	24	13	1	1746	7	99	896	289	1	32	6839	379	685	0	47076	0	100
176495	169	405	252	116	98	20	13	0	1853	8	104	899	260	1	38	7186	396	677	0	25053	0	116
176346	182	405	266	120	93	18	10	0	1969	11	113	886	242	3	26	7411	375	719	0	25817	0	139
176178	227	401	271	130	100	21	10	0	2067	11	117	913	242	3	33	6848	377	783	0	25510	0	165
176019	243	396	288	115	119	20	9	2	2189	11	122	872	272	3	38	7339	380	810	0	25068	0	154
175853	235	441	291	125	117	22	10	2	2302	11	124	886	278	4	38	8024	383	858	0	26478	0	163
175720	212	444	292	128	130	24	12	2	2430	13	126	883	247	3	43	7752	396	846	0	47944	0	130
175557	219	446	311	122	138	27	14	1	2553	13	132	859	338	3	35	7869	405	872	0	47563	0	157
175346	239	485	321	120	136	27	15	1	2691	13	139	859	174	0	41	5563	422	921	0	26188	0	204
175137	295	494	327	123	137	29	14	0	2819	15	143	841	262	3	41	6446	456	963	0	24958	0	204
174946	318	507	330	129	134	29	14	0	2960	16	150	842	275	3	38	7514	467	994	0	24813	0	182
174725	316	571	331	141	130	30	16	0	3096	17	160	858	111	3	37	6988	461	1074	0	25790	0	208
174489	324	606	338	137	139	35	16	1	3265	20	163	875	275	1	52	7178	473	1122	0	25978	0	232
174310	294	617	342	142	156	40	18	1	3424	20	169	864	307	3	57	7282	485	1124	0	47306	0	172
174098	288	618	368	158	172	42	17	2	3577	21	172	855	349	0	52	6740	502	1161	0	47006	0	209
173853	323	626	375	159	174	44	16	3	3759	23	178	869	296	1	56	7386	509	1208	0	25806	0	239
173606	328	654	393	165	187	44	17	3	3931	23	182	856	272	4	54	9095	535	1253	0	25784	0	243
173337	358	685	385	174	201	47	20	3	4113	23	187	876	288	10	59	9216	582	1288	0	27180	0	264
173029	418	721	380	180	215	48	22	3	4304	23	190	886	241	1	55	9215	599	1385	0	27274	0	303
172727	442	768	392	212	219	45	22	2	4483	25	196	848	323	8	74	7707	634	1466	0	28338	0	296
172470	421	804	424	212	220	50	22	4	4678	27	201	876	273	6	70	6838	684	1469	0	47122	0	249
172214	406	819	422	226	233	50	26	3	4896	27	211	879	265	6	63	7086	702	1480	0	46986	0	245
171879	429	865	467	221	245	45	24	3	5105	30	220	870	338	5	76	11322	772	1524	0	28970	0	327
171575	436	905	485	240	256	46	28	3	5307	30	222	852	244	3	73	11622	822	1574	0	29475	0	301
171268	434	924	525	255	253	52	27	3	5532	33	227	852	278	6	83	11103	848	1622	0	29927	0	302
170911	453	958	557	257	254	59	30	2	5786	34	232	872	251	4	64	11817	863	1705	0	29869	0	349
170532	516	930	597	277	257	65	33	4	6041	37	244	870	362	8	81	10403	867	1808	0	30517	0	366
