 Eval |               m |               H |               s |          ObjVal
--------------------------------------------------------------------------------
    0 |         0.16033 |        -0.45161 |        14.41757 |         0.74350
    1 |         0.47218 |        -0.43716 |        32.19956 |         0.59436
    2 |         0.43679 |        -0.43856 |        30.81398 |         0.66292
    3 |         0.45218 |        -0.44716 |        33.19956 |         0.95332
    4 |         0.65441 |        -0.12332 |        20.11188 |         0.83549
    5 |         0.60819 |        -0.76572 |        31.94413 |         1.26776
    6 |         0.63505 |         0.62953 |        26.19866 |         0.83549
    7 |         0.72538 |        -0.21943 |        66.07697 |         0.83549
    8 |         0.40219 |         0.34066 |        31.77535 |         0.83549
    9 |         0.54391 |         0.24719 |        30.11300 |         0.83549
   10 |         0.33500 |        -0.93873 |        38.23228 |         1.04929
   11 |         0.56004 |         0.23746 |        29.20707 |         0.83549
   12 |         0.61296 |        -0.67935 |        31.92180 |         1.27229
   13 |         0.45488 |         0.08566 |        31.81196 |         0.83549
   14 |         0.42507 |        -0.61953 |        35.23434 |         1.14358
   15 |         0.52630 |         0.02321 |        30.71389 |         0.83549
   16 |         0.43616 |        -0.69325 |        34.50008 |         1.15432
   17 |         0.51697 |         0.01208 |        31.20977 |         0.83549
   18 |         0.45112 |        -0.47245 |        34.04088 |         1.15177
   19 |         0.50750 |        -0.10070 |        31.54564 |         0.83549
   20 |         0.53756 |        -0.58814 |        32.86671 |         1.22745
   21 |         0.47555 |        -0.08279 |        32.07565 |         0.83549
   22 |         0.45448 |        -0.43786 |        31.50677 |         0.62885
   23 |         0.31626 |        -0.44438 |        23.30856 |         0.68982
   24 |         0.59878 |        -0.32829 |        49.13826 |         0.83549
   25 |         0.48984 |        -0.26893 |        31.87260 |         0.83549
   26 |         0.49458 |        -0.21254 |        31.70467 |         0.83549
   27 |         0.56329 |        -0.28024 |        26.15572 |         0.83549
   28 |         0.46353 |        -0.17575 |        32.00576 |         0.83549
   29 |         0.47105 |        -0.39285 |        32.70435 |         0.83548
   30 |         0.49950 |        -0.54806 |        32.77077 |         1.20366
   31 |         0.47252 |        -0.26883 |        32.19701 |         0.83549
   32 |         0.37381 |        -0.44031 |        40.34690 |         0.94564
   33 |         0.51592 |        -0.32026 |        29.70352 |         0.83549
   34 |         0.31465 |        -0.38996 |        11.81158 |         0.82059
   35 |         0.36744 |        -0.55640 |        23.56144 |         1.08722
   36 |         0.46279 |        -0.29850 |        29.66886 |         0.83549
   37 |         0.46333 |        -0.43751 |        31.85316 |         0.58153
   38 |         0.39422 |        -0.44077 |        27.75406 |         0.71071
   39 |         0.39341 |        -0.41356 |        22.00557 |         0.83341
   40 |         0.47161 |        -0.41500 |        32.45195 |         0.83533
   41 |         0.47235 |        -0.35299 |        32.19829 |         0.83549
   42 |         0.49405 |        -0.37871 |        30.95154 |         0.83548
   43 |         0.48338 |        -0.32485 |        31.95211 |         0.83549
   44 |         0.43399 |        -0.46060 |        27.56398 |         1.07371
   45 |         0.46276 |        -0.37989 |        31.03971 |         0.83549
   46 |         0.41707 |        -0.50447 |        27.54947 |         1.13209
   47 |         0.46680 |        -0.36975 |        30.85145 |         0.83549
   48 |         0.43365 |        -0.45956 |        28.65014 |         1.07713
   49 |         0.45851 |        -0.39221 |        30.30112 |         0.83548
   50 |         0.43647 |        -0.45294 |        28.25085 |         1.05018
   51 |         0.45619 |        -0.39816 |        30.34249 |         0.83547
   52 |         0.44006 |        -0.44233 |        29.00126 |         0.89045
   53 |         0.45390 |        -0.40474 |        29.97616 |         0.83543
   54 |         0.39305 |        -0.46326 |        28.07216 |         1.05203
   55 |         0.46880 |        -0.39985 |        30.23169 |         0.83548
   56 |         0.41830 |        -0.44212 |        28.79201 |         0.63904
   57 |         0.42008 |        -0.45638 |        28.23820 |         1.05941
   58 |         0.44716 |        -0.41271 |        29.81642 |         0.83540
   59 |         0.42045 |        -0.45207 |        28.55891 |         1.02811
   60 |         0.44554 |        -0.41657 |        29.62185 |         0.83528
   61 |         0.42672 |        -0.44520 |        28.66305 |         0.86253
   62 |         0.44205 |        -0.42083 |        29.52808 |         0.83310
   63 |         0.39382 |        -0.44458 |        25.19213 |         0.90167
   64 |         0.45217 |        -0.42240 |        30.63699 |         0.84256
   65 |         0.46776 |        -0.43734 |        32.02636 |         0.50653
   66 |         0.44082 |        -0.43982 |        30.32259 |         0.65787
   67 |         0.42878 |        -0.43914 |        29.80361 |         0.68370
   68 |         0.45269 |        -0.42917 |        30.69062 |         0.79385
   69 |         0.42837 |        -0.42553 |        26.92937 |         0.59897
   70 |         0.45443 |        -0.42704 |        30.73750 |         0.87606
   71 |         0.46747 |        -0.42626 |        32.15256 |         1.05939
   72 |         0.42858 |        -0.44104 |        28.52264 |         0.77667
   73 |         0.43423 |        -0.44426 |        29.30488 |         0.90937
   74 |         0.44938 |        -0.43135 |        30.37935 |         0.88164
   75 |         0.46554 |        -0.43742 |        31.93976 |         0.57618
   76 |         0.44806 |        -0.43143 |        29.47786 |         0.43754
   77 |         0.45429 |        -0.43858 |        31.17447 |         0.80229
   78 |         0.44827 |        -0.43824 |        30.91499 |         0.62940
   79 |         0.44817 |        -0.43919 |        30.27450 |         0.67887
   80 |         0.46022 |        -0.43325 |        31.35849 |         0.55935
   81 |         0.46110 |        -0.43219 |        31.38193 |         0.94125
   82 |         0.45099 |        -0.44080 |        30.66562 |         0.85711
   83 |         0.45352 |        -0.43865 |        30.84470 |         0.72523
   84 |         0.45758 |        -0.43443 |        30.77886 |         0.37815
   85 |         0.45923 |        -0.43236 |        30.58106 |         0.42011
   86 |         0.45951 |        -0.43316 |        31.08982 |         0.29107
   87 |         0.46251 |        -0.43041 |        31.21238 |         0.74626
   88 |         0.46810 |        -0.43089 |        31.89296 |         0.94206
   89 |         0.45315 |        -0.43711 |        30.67912 |         0.66742
   90 |         0.46312 |        -0.43296 |        31.48835 |         0.72097
   91 |         0.45564 |        -0.43608 |        30.88142 |         0.53705
   92 |         0.47011 |        -0.43122 |        31.24289 |         0.60281
   93 |         0.46465 |        -0.43298 |        31.16092 |         0.29283
   94 |         0.45258 |        -0.43077 |        29.99559 |         0.27434
   95 |         0.44610 |        -0.42744 |        29.02350 |         0.75821
   96 |         0.45572 |        -0.43422 |        30.18747 |         0.42435
   97 |         0.46032 |        -0.43087 |        30.46625 |         0.74856
   98 |         0.45681 |        -0.43478 |        30.77763 |         0.45450
   99 |         0.44508 |        -0.42888 |        28.96454 |         0.26806
  100 |         0.43374 |        -0.42466 |        27.43363 |         0.81504
  101 |         0.45267 |        -0.42976 |        29.69524 |         0.88406
  102 |         0.45578 |        -0.43352 |        30.50703 |         0.39544
  103 |         0.46362 |        -0.43369 |        31.28905 |         0.26041
  104 |         0.47140 |        -0.43482 |        32.19465 |         0.36585
  105 |         0.45823 |        -0.43075 |        30.89420 |         0.52397
  106 |         0.45634 |        -0.43336 |        30.36415 |         0.26603
  107 |         0.45833 |        -0.43141 |        30.53380 |         0.34720
  108 |         0.45674 |        -0.42964 |        30.19196 |         0.60336
  109 |         0.45737 |        -0.43323 |        30.63214 |         0.38424
  110 |         0.45998 |        -0.43353 |        30.82660 |         0.37708
  111 |         0.45435 |        -0.43129 |        30.12680 |         0.64753
  112 |         0.45810 |        -0.43223 |        30.64232 |         0.76024
  113 |         0.46157 |        -0.43342 |        31.18944 |         0.71141
  114 |         0.46414 |        -0.43333 |        31.22499 |         0.28044
  115 |         0.46097 |        -0.43255 |        30.91143 |         0.30746
  116 |         0.46060 |        -0.43406 |        31.03396 |         0.34122
  117 |         0.46339 |        -0.43402 |        31.24404 |         0.41202
  118 |         0.46045 |        -0.43300 |        30.71252 |         0.28660
  119 |         0.46941 |        -0.43562 |        31.94251 |         0.67185
  120 |         0.45811 |        -0.43237 |        30.58072 |         0.51873
  121 |         0.46565 |        -0.43454 |        31.48858 |         0.32383
  122 |         0.46101 |        -0.43304 |        30.89514 |         0.45442
  123 |         0.46280 |        -0.43378 |        31.15681 |         0.34724
  124 |         0.46523 |        -0.43360 |        31.40692 |         0.45009
  125 |         0.46129 |        -0.43355 |        30.97168 |         0.35780
  126 |         0.46391 |        -0.43358 |        31.26184 |         0.29430
  127 |         0.46273 |        -0.43330 |        31.10672 |         0.27193
  128 |         0.46553 |        -0.43280 |        31.25037 |         0.30858
  129 |         0.46046 |        -0.43182 |        30.72768 |         0.35891
  130 |         0.46435 |        -0.43386 |        31.29836 |         0.42740
  131 |         0.46317 |        -0.43350 |        31.19789 |         0.34056
  132 |         0.46388 |        -0.43351 |        31.25702 |         0.39339
  133 |         0.46204 |        -0.43335 |        31.00079 |         0.29161
  134 |         0.46377 |        -0.43364 |        31.27545 |         0.27672
  135 |         0.46230 |        -0.43312 |        31.10024 |         0.28021
  136 |         0.46458 |        -0.43325 |        31.26971 |         0.37906
  137 |         0.46463 |        -0.43412 |        31.38882 |         0.36618
  138 |         0.46301 |        -0.43353 |        31.17782 |         0.47953
  139 |         0.46366 |        -0.43352 |        31.23722 |         0.49499
  140 |         0.46369 |        -0.43367 |        31.28225 |         0.44799
  141 |         0.46296 |        -0.43341 |        31.19465 |         0.65125
  142 |         0.46283 |        -0.43352 |        31.14492 |         0.68885
  143 |         0.46340 |        -0.43360 |        31.24347 |         0.26779
  144 |         0.46413 |        -0.43391 |        31.33894 |         0.35332
